row_id,fold,protocol
0,0,group_formula
6,0,group_formula
10,0,group_formula
16,0,group_formula
18,0,group_formula
20,0,group_formula
25,0,group_formula
28,0,group_formula
36,0,group_formula
38,0,group_formula
42,0,group_formula
49,0,group_formula
53,0,group_formula
58,0,group_formula
59,0,group_formula
71,0,group_formula
86,0,group_formula
97,0,group_formula
101,0,group_formula
111,0,group_formula
112,0,group_formula
113,0,group_formula
114,0,group_formula
115,0,group_formula
132,0,group_formula
136,0,group_formula
149,0,group_formula
152,0,group_formula
163,0,group_formula
169,0,group_formula
172,0,group_formula
174,0,group_formula
175,0,group_formula
180,0,group_formula
182,0,group_formula
183,0,group_formula
185,0,group_formula
187,0,group_formula
195,0,group_formula
196,0,group_formula
210,0,group_formula
212,0,group_formula
214,0,group_formula
225,0,group_formula
228,0,group_formula
232,0,group_formula
241,0,group_formula
242,0,group_formula
249,0,group_formula
254,0,group_formula
256,0,group_formula
258,0,group_formula
286,0,group_formula
295,0,group_formula
303,0,group_formula
308,0,group_formula
321,0,group_formula
324,0,group_formula
333,0,group_formula
345,0,group_formula
346,0,group_formula
348,0,group_formula
353,0,group_formula
354,0,group_formula
361,0,group_formula
364,0,group_formula
368,0,group_formula
375,0,group_formula
405,0,group_formula
408,0,group_formula
414,0,group_formula
415,0,group_formula
421,0,group_formula
424,0,group_formula
432,0,group_formula
436,0,group_formula
443,0,group_formula
447,0,group_formula
457,0,group_formula
461,0,group_formula
462,0,group_formula
471,0,group_formula
473,0,group_formula
485,0,group_formula
486,0,group_formula
487,0,group_formula
490,0,group_formula
493,0,group_formula
494,0,group_formula
495,0,group_formula
496,0,group_formula
497,0,group_formula
498,0,group_formula
502,0,group_formula
511,0,group_formula
522,0,group_formula
536,0,group_formula
541,0,group_formula
544,0,group_formula
547,0,group_formula
549,0,group_formula
556,0,group_formula
563,0,group_formula
564,0,group_formula
572,0,group_formula
575,0,group_formula
577,0,group_formula
579,0,group_formula
583,0,group_formula
587,0,group_formula
597,0,group_formula
605,0,group_formula
609,0,group_formula
616,0,group_formula
617,0,group_formula
629,0,group_formula
642,0,group_formula
643,0,group_formula
653,0,group_formula
662,0,group_formula
682,0,group_formula
687,0,group_formula
689,0,group_formula
699,0,group_formula
701,0,group_formula
703,0,group_formula
706,0,group_formula
716,0,group_formula
718,0,group_formula
720,0,group_formula
722,0,group_formula
728,0,group_formula
731,0,group_formula
735,0,group_formula
739,0,group_formula
747,0,group_formula
760,0,group_formula
762,0,group_formula
764,0,group_formula
767,0,group_formula
768,0,group_formula
769,0,group_formula
770,0,group_formula
771,0,group_formula
772,0,group_formula
773,0,group_formula
774,0,group_formula
778,0,group_formula
780,0,group_formula
781,0,group_formula
788,0,group_formula
789,0,group_formula
790,0,group_formula
794,0,group_formula
799,0,group_formula
809,0,group_formula
817,0,group_formula
819,0,group_formula
827,0,group_formula
829,0,group_formula
831,0,group_formula
838,0,group_formula
842,0,group_formula
856,0,group_formula
860,0,group_formula
863,0,group_formula
868,0,group_formula
870,0,group_formula
889,0,group_formula
897,0,group_formula
900,0,group_formula
906,0,group_formula
914,0,group_formula
916,0,group_formula
919,0,group_formula
920,0,group_formula
921,0,group_formula
922,0,group_formula
924,0,group_formula
927,0,group_formula
929,0,group_formula
937,0,group_formula
939,0,group_formula
